Display,Workstream,Service_Title,Customer_Story,Suggested_Path,Assumptions,Estimated_Low_Hours,Estimated_High_Hours,Contracted_Hours,Requires_Clarification,Function,Library_ID,Project_ID,Internal_Notes,Task_Link
Now,Mobilization,Project Kickoff & Team Alignment,"As the JLG team, we need to review all sales calls, technical diagrams, and documentation to ensure alignment before discovery begins.","A8 will review sales call recordings, technical architecture diagrams from JLG, existing HubSpot portal, Dynamics 365 setup, and SAP Business One documentation to prepare for stakeholder interviews and create detailed interview agendas.","- Aptitude 8 team will review JLG Demo recordings, intro call, and technical deep dive - JLG technical diagrams and data flow documentation available - Access to existing HubSpot portal (Library Journal, School Library Journal, Hornbook brands) ",8,10,9,FALSE,Strategy,,,Includes review of Gong recordings and Lucid diagrams,
Now,Discovery,Requirements Gathering - Sales & CRM Operations,"As the JLG team, we need to understand how our current Dynamics 365 processes for new business and renewals will transition to HubSpot, including our complex school/district data model.","A8 will conduct interviews with Scott Crawford and sales team to map current Dynamics 365 workflows, understand the many-to-many relationship requirements (contacts to schools to districts), renewal cohort processes, quote generation workflows, and self-service portal requirements.","- Interviews with the sales team - Current process includes: renewal cohorts, auto-generated opportunities, manual quotes, web one-click quotes, self-service upsell portal - Complex data model: Districts > Schools > Contacts with many-to-many relationships",9,15,12,FALSE,Strategy,,,Multiple sales processes to document: new business vs renewals,
Now,Discovery,Requirements Gathering - Marketing & Marketo Migration,"As the JLG team, we need to understand our current Marketo setup, workflows, and journeys to plan the migration to HubSpot Marketing Hub.","A8 will conduct interviews to document current Marketo implementation including workflows, lead scoring, landing pages, 5-6 detailed journeys, email templates, and segmentation strategy. Map out how 100K contacts are currently managed and what needs to migrate.","- Interview with marketing - Marketo renewal is end of February (tight timeline) - Current Marketo setup includes: workflows, lead scoring, landing pages, 5-6 detailed journeys - 100K contacts in Marketo - Marketing migration is lower priority than CRM/SAP integration",6,9,8,FALSE,Strategy,,,,
Now,Discovery,Requirements Gathering - Technical Architecture & Data,"As the JLG team, we need to map our complex technical architecture including SAP Business One, Dynamics 365, Magento, and all data flows between systems.","A8 will conduct technical interviews with the IT team to understand: SAP B1 custom subscription module, database views and connections, data transformation rules, current API integrations, Power BI reporting requirements, and the 30-person data team's daily operations (6-7K records moved daily).","- Interviews with Data/Finance, IT team member(s)
- Ben's team: 30 people making changes to records daily
- Average 6-7K records moved between systems daily
- SAP Business One has custom subscription module (not accessible via standard API)
- Database views used for CRM to pull from SAP
- Current integrations: Dynamics <> SAP, Dynamics <> Magento, MDR enrichment tool
- SQL Server hosting: Azure (Dynamics), SMB hosting partner (SAP)
",9,12,11,FALSE,Solutions Engineering,,,Critical path item - SAP integration is most complex element,
Now,Discovery,Requirements Gathering - Existing HubSpot Portal,"As the JLG team, we need to understand how the existing HubSpot portal is structured and what will change when JLG brand is added as the fourth brand.","A8 will review existing HubSpot portal setup with team to understand: current data model, brand segmentation approach, Darwin subscription fulfillment integration, renewal processes, and any constraints or requirements for adding JLG as fourth brand.","- Interview with team
- Three existing brands in HubSpot: Library Journal, School Library Journal, Hornbook
- Darwin subscription fulfillment platform currently integrated
- Different business model than JLG (less complex renewals)
- Portal will be ""hijacked"" to add JLG - need to understand impact
- 2 interviews expected",6,9,8,FALSE,Strategy,,,,
Now,Discovery,Requirements Gathering - E-commerce & Magento,"As the JLG team, we need to document our Magento e-commerce setup including subscription orders, book orders, loyalty programs, and how they integrate with CRM and SAP.","A8 will interview team members to map: Magento subscription order flow, book order flow, loyalty program (4 tiers based on annual revenue), checkout process, and how website data flows to Dynamics and SAP. Also explore future Shopify Plus migration plans.",- Interview with team- Magento handles both subscription orders and book orders differently - Subscription orders: Website > CRM > SAP - Book orders: Website > SAP directly - 4-tier loyalty program based on annual revenue - Web one-click self-service renewal portal - RFP sent to CQL and others for potential Shopify Plus migration in 2026,6,9,8,FALSE,Strategy,,,,
Now,Discovery,Requirements Gathering - Customer Service & SAP Operations,"As the JLG team, we need to understand how customer service operations in SAP will interact with HubSpot CRM.","A8 will interview customer service leads to understand: how customer service makes changes in SAP, what data needs to sync back to CRM, order management workflows, subscription management, and financial reporting needs.","- Interview with CFO and customer service team member(s) - Most customer service work happens in SAP, not CRM - Customer service can make changes to accounts that sync back - SAP is source of truth for subscriptions and orders - Need to understand what CS needs to see/do in HubSpot ",6,9,8,FALSE,Solutions Engineering,,,,
Now,User Stories Creation,Technical User Stories - Data Model & Integrations,"As the JLG team, we need detailed technical user stories covering the data model, SAP integration, Magento integration, and data migrations.","Create comprehensive technical user stories for: custom objects (Schools, Districts, Subscriptions, Subscription Details), SAP Business One bi-directional integration, Magento integration, Dynamics data migration, Marketo asset migration.","- Complex data model: Accounts, Contacts, Schools, Districts with many-to-many relationships - SAP Business One custom subscription module requires custom integration approach - Magento integration for subscription orders (bidirectional) - Multiple custom objects needed: Subscriptions, Subscription Detail, Suggested Products, Processing Cohort, Loyalty, Tax Exemption, One Click, Discount Pricing, Bids and Contracts - Data flows documented in JLG's technical diagrams",8,12,10,FALSE,Solutions Engineering,,,,
Now,User Stories Creation,Functional User Stories - Sales Processes,"As the JLG team, we need detailed functional user stories covering new business sales, renewal sales, quote generation, and upsell processes.","Create functional user stories for: new business pipeline and workflow, renewal pipeline and cohort-based opportunity generation, manual quote creation, web one-click quote generation with self-service upsell, suggested products algorithm, discount pricing automation.","- Two distinct sales processes: new business vs renewals - Renewal process: cohort-based, auto-generated opportunities, scheduler opens cohorts - Quote generation: manual PDF option OR dynamic URL for self-service - Self-service portal allows customer to upsell themselves - Suggested products based on district/school/state data and purchase patterns - 73 product categories (not individual books) - Discount pricing based on create date and seasonal factors",8,12,10,FALSE,Strategy,,,,
Now,User Stories Creation,Functional User Stories - Marketing & Lead Management,"As the JLG team, we need functional user stories covering marketing automation, lead management, and cross-brand data sharing.","Create functional user stories for: marketing automation workflows, lead scoring, landing pages, forms, email templates, brand segmentation, cross-sell/upsell opportunities between JLG and other brands, data sharing protocols.",- Goal: reduce digital footprint and combine systems for cross-sell/upsell - Currently siloed - need shared data access - 5-6 detailed journeys to migrate from Marketo - Lead scoring in place - Four brands need segmentation but shared data visibility - No lead object currently used in Dynamics - accounts only,8,12,10,FALSE,Strategy,,,,
Now,Solution Design,Technical Specifications - SAP Business One Integration,"As the JLG team, we need detailed technical specifications for how HubSpot will integrate bi-directionally with SAP Business One, including the custom subscription module.","A8 will create comprehensive Technical Requirements Document (TRD) including: ERD for SAP-HubSpot data model, integration architecture (database view access vs API), sync frequency and triggers, data transformation rules, error handling, and testing approach. Work with SAP hosting partner (SMB) for vendor approval process.","- SAP Business One hosted by third-party (SMB) on SQL Server - Custom subscription module not accessible via standard SAP API - Current approach: CRM pulls from database views, pushes via API - Data flows: Customers/Subscriptions (bidirectional), Products/Calculations, Primary Contact, Orders - 30-person data team moves 6-7K records daily - Need IT team involvement for database access and architecture decisions - Vendor security approval process required with SAP hosting partner - Power BI pulls from both Dynamics and SAP - need to understand reporting needs - Solution Engineering hours included",15,20,18,FALSE,Solutions Engineering,,,,
