Workstream,Service_Title,Customer_Story,Suggested_Path,Assumptions,Estimated_Low_Hours,Estimated_High_Hours
Reporting,Leads Funnel Dashboard,"As a sales leader, I need to view the complete leads funnel from events through enrollments, consults, and closed deals so that I can track conversion at each stage and identify bottlenecks","Create custom funnel report using marketing events as starting point, joining to enrollments (custom object), meetings, and deals with date-based filtering",Assumes custom objects (Enrollments) will remain; may need to handle duplicate records from multiple promoting lead sources; report will need to handle YoY comparisons,,
Reporting,Event Enrollment Tracking Report,"As a Partnership Manager, I need to see enrollment progress by event and center 8 weeks prior to event date so that I can ensure we hit enrollment targets and take corrective action early",Build dataset or report showing events by center/PM with weekly enrollment counts vs. historical benchmarks; include filtering by region and time-to-event,Report currently exists in Excel; needs to account for events promoted by multiple schools; requires historical enrollment data for benchmarking,,
Reporting,Report Consolidation & Cleanup,"As a CRO, I need a streamlined set of accurate reports (reduced from 767 to ~150 core reports) so that I can quickly find the right data and trust the numbers I'm seeing",Audit all reports by creator and last access date; archive reports older than 2 years or unused; identify and consolidate duplicate reports; establish naming conventions,"Many reports created by former employees (Liz, Tony, Jay); some reports may be foundational vs. experimental; need buy-in from report users before archiving",,
Data Model,Custom Objects Evaluation,"As a data architect, I need to evaluate whether Enrollments should remain a custom object or become deal records so that we can simplify reporting and improve data flow","Document current Enrollments object usage; map to standard deal object; assess impact on existing workflows, reports, and Orbit sync; recommend path forward","Enrollments currently has 16 workflows, 29 lists, 55 properties; may need to distinguish between event enrollments (registrations) vs. product enrollments (purchases)",,
Data Model,Lifecycle Stage Definition,"As a marketing and sales leader, I need clear definitions for MQL, SQL, and other lifecycle stages that align with HubSpot standards so that our teams speak the same language and we can use native funnel reports",Facilitate workshop with marketing and sales to define what qualifies each lifecycle stage; map to current Orbit definitions; configure HubSpot lifecycle stages and automation,"Currently leads, MQLs, SQLs are defined differently between teams; prefer using default HubSpot stages unless business requires customization; impacts lead scoring setup",,
Data Model,Consult Process Cleanup,"As an adviser, I need the system to create only one deal per student consultation so that I can track opportunities accurately without duplicate or shell deals cluttering my pipeline",Review current deal creation workflow; identify root cause of duplicate deals; implement logic to prevent multiple open deals per contact; backfill existing duplicates,"Engineering team currently working on this issue in staging; consults are HubSpot-only (not synced to Orbit); may need to account for multiple deal scenarios (e.g., 24 hours rejected, 12 hours accepted)",,
Data Model,Orbit-HubSpot Sync Optimization,"As a data engineer, I need clear documentation of what data syncs bidirectionally between Orbit and HubSpot so that I can troubleshoot sync issues and plan for full migration",Map all current sync flows; identify which objects originate in which system; document sync frequency and dependencies; highlight broken syncs (HubSpot→Orbit currently down),"Events, enrollments sync bidirectionally; consults are HubSpot-only; post-sale (scheduling, delivery) stays in Orbit; goal is full GTM process in HubSpot eventually",,
Workflows,Workflow Audit & Consolidation,"As a HubSpot admin, I need to reduce workflows from 314 to under 150 by eliminating redundant, outdated, and experimental workflows so that the system performs better and is easier to maintain","Categorize workflows by function (sales, marketing, engineering/associations); identify creator and last modified date; interview teams about necessity; archive or delete unused workflows",Many workflows created by former admins; some may be experimental vs. production; Julie creates marketing workflows freely; need governance process post-cleanup,,
Workflows,Workflow Naming Conventions,"As a team member using HubSpot, I need consistent workflow naming conventions so that I can quickly understand what each workflow does and avoid creating duplicates","Establish naming convention (e.g., [Team]-[Object]-[Action]-[Trigger]); document in shared location; rename existing critical workflows; enforce for new workflows",Current workflows lack consistent naming; convention should indicate purpose without requiring deep dive; consider including status (active/draft),,
Workflows,Association Workflows Review,"As a data engineer, I need to understand which engineering-created association workflows are still necessary so that we maintain data relationships without unnecessary automation",Review engineering workflows with Emily and Grace; identify which associations could be handled by HubSpot native features; document business logic; consolidate where possible,Some workflows create associations between custom objects and standard objects; may be workarounds for Orbit sync limitations,,
