Display,Workstream,Service_Title,Customer_Story,Suggested_Path,,Estimated_Low_Hours,Estimated_High_Hours,Contracted_Hours,Requires_Clarification,Function,Library_ID,Project_ID,Internal_Notes,Task_Link
Now,Mobilization,Project Kickoff & Governance Setup,"As the VAFB team, we need to establish project governance, align on objectives, and set up communication cadence before discovery begins.","A8 will facilitate project kickoff meeting with executive stakeholders (President/CEO of VAFB, Executive VP of Mutual Insurance Company, VP of Marketing, Director of Member Engagement, CIO), establish governance structure, define decision-making process, set up executive reporting cadence, and align on engagement objectives.","- Executive sponsors present 
- Project team present
- On-site presence requested for key milestones 
- Hybrid/remote flexibility available between on-site sessions",20,30,25,FALSE,,,,,
Now,Mobilization,Stakeholder Mapping & Interview Planning,"As the VAFB team, we need to identify and schedule all stakeholder groups for comprehensive discovery interviews across our multi-entity organization.","A8 will work with project team to finalize stakeholder list across 10-12 groups (Sales, Insurance Claims, Insurance Training, Membership, Marketing, Information Services, IS Data Services, Executive Leadership, Virginia State Fair, Healthcare Services), schedule interviews, and create customized interview agendas for each group.","- 10-12 stakeholder groups identified for interviews 
- Key groups: Sales, Insurance Claims, Insurance Training, Membership, Marketing, Information Services, IS Data Services, Executive Leadership, Virginia State Fair, Healthcare Services 
- Process owners: Ray Leonard (VP Sales), Mike Bolino (VP Marketing), Tom Gannon (VP Claims), Pat Caine (CIO) 
- Distributed field organization requires coordination",6,9,8,FALSE,,,,,
Now,Discovery,Current State Assessment - Technical Architecture,"As the VAFB team, we need to document our complex technical environment including all core systems, data flows, and integration methods.","A8 will conduct technical interviews with IT team to map: 5 core customer-related systems (Finys insurance, Personify membership, NetSuite accounting, HubSpot Health dept, One Inc), enterprise data warehouse (ODS), current integration methods (point-to-point APIs, ETL, manual entry), and data classification inventory for controlled data (HIPAA, PII, PCI DSS).","- No current enterprise CRM - Finys and Personify have limited CRM-related functionality - 5 core systems: Finys (insurance policy admin), Personify (membership), NetSuite (accounting/billing), HubSpot (Health dept only), One Inc (payments) - Enterprise data warehouse (ODS) handles data exchange between systems - Microsoft-centric platform preference (Azure, but some vendors may use AWS) - Wide range of integration methods in use - Data classification inventory completed - available during engagement - Systems to be impacted: Finys, Personify, NetSuite with others pulled in - Smaller systems being sunsetted: Ring Central (phone), Constant Contact (mass email) - Healthcare Services department uses Salesforce module separately - Data governance effort currently underway enterprise-wide",12,18,15,FALSE,,,,,
Now,Discovery,Current State Assessment - Data Architecture & Volume,"As the VAFB team, we need to understand our data volume, growth projections, and current data management practices across affiliated companies.","A8 will work with IS Data Services team to document: current data volume in ODS, expected growth rates, data retention policies, data quality issues, master data management approach, and how customer data flows between Finys, Personify, and NetSuite.",- Enterprise data warehouse (ODS) in place - Customer data maintained in operational systems - ODS handles data exchange between systems - Complex environment - further clarification needed on specific volumes - Data growth dependent on membership/policy growth + retention/archiving rules - Personify tracks member payments and customer info - Finys and Personify work together in customized manner - Both systems supply and kick off marketing notifications,9,12,11,FALSE,,,,,
Now,Discovery,Current State Assessment - Process Documentation & Maturity,"As the VAFB team, we need to assess our current process documentation maturity across Marketing, Sales, and Service functions.","A8 will interview process owners to assess: documentation maturity levels (formal vs tribal knowledge), standardization across affiliates and regions, existing SOPs for agents/MSS/call center, and current KPIs tracked by each function.","- Sales Training organization maintains documentation for agents, MSS, customer engagement resources - Various levels of documentation exist for specific systems - Multiple affiliated companies serve same customers in different regions - Process owners identified: Ray Leonard (Sales), Mike Bolino (Marketing), Tom Gannon (Claims), Pat Caine (Internal Info Services) - Both regulated (insurance) and community-driven (membership) environments",9,12,11,FALSE,,,,,
Now,Discovery,Stakeholder Interviews - Sales & Distribution,"As the VAFB team, we need to understand our current sales operations, agent workflows, and distribution model across our field organization.","A8 will conduct interviews with Sales leadership and field representatives to understand: current agent access to customer data across insurance/membership entities, sales pipeline management, forecasting methods, commission tracking, agent licensing requirements, offline/mobile needs for field agents, and top friction points.","- Led by Ray Leonard, VP of Sales - Distributed field organization with agents and Member Service Specialists (MSS) - No unified customer profile currently - data siloed across Finys and Personify - Commission management and agent licensing tracking required - In-house Sales Training organization for agents/MSS workforce - Quick wins focused on sales and distribution - Strategic outcome: Producer Motivation and lead generation",12,18,15,FALSE,,,,,
Now,Discovery,Stakeholder Interviews - Membership Operations,"As the VAFB team, we need to understand our membership processes, renewal workflows, and how membership benefits integrate with insurance products.","A8 will conduct interviews with Membership team to document: member enrollment process, renewal workflows, benefit tracking, member engagement strategies, member portal requirements, and how membership data in Personify relates to insurance data in Finys.","- Ben Rowe, Director of Member Engagement leads this area - Personify system manages membership data - Member payments and customer info tracked in Personify - Personify and Finys work together in customized manner - New member engagement and renewals are priority business units - Strategic outcome: Member Engagement and meaningful value-based engagement across Agricultural community",12,15,14,FALSE,,,,,
Now,Discovery,Stakeholder Interviews - Insurance Operations,"As the VAFB team, we need to understand our insurance operations including policy lifecycle, claims processes, and underwriting workflows.","A8 will conduct interviews with Insurance team to document: policy quote-to-bind process, renewal workflows, claims submission and management, underwriting processes, regulatory compliance requirements (state insurance regulations), and integration needs with Finys policy admin system.","- Tom Gannon, VP of Claims leads Claims function - Finys is core insurance system - Insurance Claims stakeholder group involved - Insurance Training organization supports operations - Policy Services included in initial implementation roadmap - Strategic outcome: Policy Holder Engagement and profitable insurance growth - Regulated environment with state insurance regulations",12,15,14,FALSE,,,,,
Now,Discovery,Stakeholder Interviews - Marketing & Communications,"As the VAFB team, we need to understand our current marketing operations, campaign execution, and member communications strategy.","A8 will conduct interviews with Marketing team to document: current marketing automation (Constant Contact being sunsetted), segmentation strategy, campaign execution processes, customer feedback capture, omnichannel orchestration needs, and AI-driven personalization opportunities.","- Mike Bolino, VP of Marketing leads this area - Current tools: Constant Contact (being sunsetted) - Finys and Personify supply marketing notifications - Marketing stakeholder group involved - Strategic outcome: Lead Generation and Communications - New VAFB Intranet launching December 2025 for internal communications - Weekly digests sent to field staff",9,12,11,FALSE,Consulting,,,,
Now,Discovery,Stakeholder Interviews - Healthcare Services,"As the VAFB team, we need to understand our Healthcare Services operations and how they fit into the broader CRM strategy.","A8 will conduct interviews with Healthcare Services team to document: current Salesforce usage, HIPAA compliance requirements, integration with other systems, unique workflows, and how healthcare operations relate to membership and insurance.",- Healthcare Services is separate stakeholder group - Currently using a Salesforce module independently - HIPAA controlled data managed in specific business units - Executive VP of Healthcare is key stakeholder - Data classification inventory identifies HIPAA data - will be available during engagement,8,12,10,FALSE,,,,,
